15,1,20,2,113,276,25,248,0,0,0,0,0,0,0,0,15,148,218,0,7,0,0
31,0,14,3,159,425,52,382,0,0,64,0,1,19,41,0,5,69,91,0,1,3,52
11,6,3,2,59,151,7,61,0,0,0,0,0,0,0,0,11,100,83,0,1,0,0
6,2,2,1,52,90,4,61,0,0,0,0,0,0,0,0,8,67,54,0,2,0,0
26,14,25,3,104,610,11,272,0,0,0,0,0,0,0,0,13,161,202,0,6,0,0
3,0,0,3,6,82,18,17,0,0,0,0,0,0,0,0,7,74,77,0,1,0,0
3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0
1,0,0,1,2,34,0,5,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,9,2,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,0,0,0,32,86,0,32,0,0,0,0,0,0,0,0,10,67,34,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,0,0
9,0,0,2,36,154,5,34,0,0,0,0,0,0,0,0,9,61,11,0,3,0,0
20,132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
13,0,0,3,94,75,30,49,0,0,12,0,1,1,0,0,5,14,0,0,1,3,30
9,0,0,2,56,98,15,24,0,0,0,0,0,0,0,0,9,53,21,0,3,0,0
0,0,0,1,0,0,33,0,0,0,0,0,0,0,0,0,1,27,11,0,0,1,33
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,45,17,0,0,0,0
32,22,23,9,57,574,36,182,0,0,0,0,0,0,0,0,17,110,152,0,10,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,86,216,0,0,0,0
2,0,0,2,0,58,7,0,0,0,0,0,0,0,0,0,7,68,90,0,0,0,0
3,0,0,3,5,106,18,12,0,0,0,0,0,0,0,0,11,86,109,0,1,0,0
12,4,12,6,43,308,13,141,0,0,0,0,0,0,0,0,9,91,223,0,5,0,0
31,14,9,11,37,459,38,112,0,0,0,0,0,0,0,0,11,93,186,0,13,0,0
0,0,0,2,0,0,33,0,0,0,90,0,1,10,19,0,3,24,27,0,0,2,33
17,1,0,14,13,203,57,26,0,0,40,0,4,7,8,0,6,28,52,0,2,3,28
4,2,0,4,8,215,22,30,0,0,0,0,0,0,0,0,14,171,338,0,1,0,0
102,869,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0
12,6,3,5,30,275,21,77,0,0,0,0,0,0,0,0,13,81,111,0,6,0,0
0,0,0,3,0,0,41,0,0,0,29,0,5,9,3,0,4,10,21,0,0,3,41
4,1,0,1,8,107,25,27,0,0,0,0,0,0,0,0,11,125,226,0,0,0,0
6,0,0,8,0,74,50,0,0,0,16,0,2,9,8,0,7,40,36,0,0,5,31
4,2,0,3,11,209,23,69,0,0,0,0,0,0,0,0,12,163,404,0,1,0,0
1,0,0,2,3,46,8,26,0,0,0,0,0,0,0,0,13,135,320,0,0,0,0
9,26,31,7,42,117,6,20,0,0,0,0,0,0,0,0,4,7,0,0,9,0,0
15,0,10,2,33,215,10,86,0,0,11,0,0,0,3,0,0,3,1,0,0,2,9
